effect,label,observed_effect,primary_bootstrap_mean,primary_se,primary_ci_low,primary_ci_high,primary_p_gt0,primary_p_lt0,primary_sign_probability,secondary_bootstrap_mean,secondary_ci_low,secondary_ci_high,loto_min,loto_min_task,loto_max,loto_max_task,loto_sign_changed
key_only,Key-only effect (K2/V16 - FP16),0.0841885583374828,0.08591664911117551,0.2648488693382173,-0.43210908352007105,0.6086159649318629,0.626,0.374,0.748,0.08222433988941007,-0.6768994732419285,1.1152306105912522,-0.3383694017812684,passage_retrieval_en,0.21905005825763188,2wikimqa,True
value_only,Value-only effect (K16/V2 - FP16),-0.249854126693509,-0.2453322940372179,0.13692529391410013,-0.5101233895953774,0.02161467053380758,0.0366,0.9634,0.0732,-0.254080099638916,-1.0596121459328935,0.29074002776526914,-0.33912942145733105,passage_retrieval_en,0.09544200711409755,lcc,True
joint,Joint effect (K2/V2 - FP16),-0.48327775727676775,-0.4808483270037902,0.24715993862623803,-0.9607551134325063,0.0020534542379539804,0.0256,0.9744,0.0512,-0.48480340299142866,-0.9228791188890756,-0.015050986161053404,-0.6427975970822511,passage_retrieval_en,-0.3867849665882928,multifieldqa_en,False
kivi4,KIVI-4 effect (K4/V4 - FP16),0.13679904705217397,0.1378150817672848,0.1280601798276777,-0.11352171825292622,0.391899305337591,0.8593,0.1407,0.2814,0.13667277176384296,-0.09170257419469131,0.44813483599885007,0.0037132646987578185,passage_retrieval_en,0.18371326469875784,lcc,False
key_minus_value,Key-only minus Value-only (K2/V16 - K16/V2),0.3340426850309918,0.33124894314839337,0.27060201514102733,-0.2037883590567009,0.8563398835527313,0.8918,0.1082,0.2164,0.3290126617969714,-0.6912813361068983,1.5828080203589192,-0.09852569460965165,lcc,0.5070030297529169,multifieldqa_en,True
interaction,Interaction (K2/V2 - K2/V16 - K16/V2 + FP16),-0.3176121889207416,-0.3214326820777479,0.20929335594094117,-0.7353758464515017,0.08640690380537071,0.0631,0.9369,0.1262,-0.311878982567374,-1.2105392016874963,0.44024396218818124,-0.5597273452722231,lcc,0.03470122615634826,passage_retrieval_en,True
