contrast,observed,ci_low,ci_high,ci_excludes_zero
KeySensitivity(L00),0.9431501831501805,0.5153519688644671,1.45307518315018,True
KeySensitivity(L04),0.2629999999999981,0.01548749999999598,0.5199999999999891,True
KeySensitivity(L09),0.11180921052631732,-0.34478322368421066,0.6165075657894731,False
KeySensitivity(L13),-0.20925883838384607,-0.8428143308080823,0.45289422348484554,False
KeySensitivity(L18),-0.010826725905673129,-0.9772215438328432,0.9576418423230606,False
KeySensitivity(L22),0.033766339869281126,-0.20552050653595388,0.2660402369281119,False
KeySensitivity(L27),0.05012500000000131,-0.1511312500000004,0.24012812500000585,False
KeySensitivity(L31),0.001125000000001819,-0.2052562500000066,0.1887531249999989,False
ValueSensitivity(L00),-1.0273750000000064,-1.429874999999996,-0.6554750000000038,True
ValueSensitivity(L04),0.08724999999999739,-0.045999999999999555,0.2325000000000017,False
ValueSensitivity(L09),0.07924999999999471,-0.09150000000000347,0.2530062499999999,False
ValueSensitivity(L13),0.25802135854341657,-0.18499277836134878,0.7299424982493017,False
ValueSensitivity(L18),0.1940808823529423,0.0040808823529443925,0.5070145220588212,True
ValueSensitivity(L22),-0.04668452380952459,-0.2272514880952361,0.11187976190475972,False
ValueSensitivity(L27),0.08908333333333474,-0.12599999999999784,0.3281666666666682,False
ValueSensitivity(L31),0.023499999999998522,-0.09051250000000549,0.15199999999999392,False
AxisDifference(L00),1.9705251831501869,1.4123693795787522,2.5822194940476266,True
AxisDifference(L04),0.17575000000000074,-0.0929999999999966,0.45375624999999936,False
AxisDifference(L09),0.0325592105263226,-0.4248845394736799,0.5299154605263168,False
AxisDifference(L13),-0.46728019692726264,-1.1690493824802615,0.23901116708047057,False
AxisDifference(L18),-0.20490760825861543,-1.140779919007074,0.7198561533764211,False
AxisDifference(L22),0.08045086367880572,-0.10718669467787798,0.27877663690476256,False
AxisDifference(L27),-0.03895833333333343,-0.26183333333333536,0.14087812500000782,False
AxisDifference(L31),-0.022374999999996703,-0.23012812499999402,0.15525312500000238,False
SignedKeyRangeContrast_L13_minus_L00,-1.1524090215340266,-1.949878294622045,-0.35844531232656823,True
SignedValueRangeContrast_L00_minus_L13,-1.285396358543423,-1.883933307072829,-0.7181827380952339,True
