scope,task,layer_idx,tensor_axis,n_samples,sample_indices,mean_relative_l2,median_relative_l2,mean_p99_abs,median_p99_abs,mean_outlier_fraction,median_outlier_fraction,mean_mean,median_mean,mean_std,median_std,mean_variance,median_variance,mean_max_abs,median_max_abs,mean_p50_abs,median_p50_abs,mean_p95_abs,median_p95_abs,mean_mse,median_mse,mean_max_abs_error,median_max_abs_error
primary,2wikimqa,0,key,4,38 44 138 164,0.1934608028674611,0.19306568891934098,2.16455078125,2.166015625,0.013820704197096786,0.013817630214604573,0.0052021667418899195,0.005164086163051511,0.6513406385353286,0.6510407809080734,0.42424740282491014,0.4238551193049301,8.849609375,8.85546875,0.3546142578125,0.3544921875,1.27099609375,1.27197265625,0.015878624429054446,0.015837931204914925,1.7616748809814453,1.7711181640625
primary,2wikimqa,0,value,4,38 44 138 164,0.5319005900610764,0.5318781509662986,0.13873291015625,0.1385498046875,0.016936467489173563,0.01692640323460337,9.319906534726296e-06,9.29897431240428e-06,0.0311761846098325,0.03116226678942081,0.0009719629513384381,0.0009710870012360352,1.201171875,1.201171875,0.005385398864746094,0.005397796630859375,0.037200927734375,0.037200927734375,0.000274668649459788,0.00027428071576211083,0.226654052734375,0.226654052734375
primary,2wikimqa,4,key,4,38 44 138 164,0.14095352536764638,0.14094874935649787,7.45703125,7.453125,0.016293384523365817,0.016150691181697492,-0.015516309693598837,-0.013774278139512059,1.863822427010951,1.8653943425446295,3.4738497121960017,3.4796974777013387,19.27734375,19.2734375,0.732421875,0.732421875,3.65576171875,3.6591796875,0.06905797542867559,0.06910704997624056,2.8828125,2.8828125
primary,2wikimqa,4,value,4,38 44 138 164,0.4091506506240026,0.40918999790336985,0.72705078125,0.72705078125,0.008097672306115782,0.008112430141244834,-0.0013308106469257562,-0.0013836128399757487,0.25309652063084126,0.2530007455773601,0.06405788783573804,0.06400937726762451,3.53564453125,3.5361328125,0.1556396484375,0.1556396484375,0.5008544921875,0.500732421875,0.010720401696656888,0.010718416951709577,0.75323486328125,0.74609375
primary,2wikimqa,9,key,4,38 44 138 164,0.169414740210245,0.16920818518986852,7.3603515625,7.337890625,0.016123571428322252,0.016010887729265143,-0.007296850455395881,-0.0073399907249508,1.8522965950456556,1.8537495845274807,3.431021535588161,3.4363889608399165,19.90234375,19.9375,0.7552490234375,0.755126953125,3.44970703125,3.44921875,0.09857292334944577,0.09850227200615094,3.1796875,3.1796875
primary,2wikimqa,9,value,4,38 44 138 164,0.4056789285626288,0.4056738541003913,1.04296875,1.04345703125,0.007319258442601356,0.0072989010701887645,0.00025860781454436956,0.0002643378012011372,0.36882164289181485,0.3683519539461253,0.1360302095962035,0.1356831619783106,6.8134765625,6.775390625,0.23089599609375,0.23065185546875,0.7308349609375,0.730224609375,0.022358414286971964,0.022346074444969312,1.34912109375,1.346923828125
primary,2wikimqa,13,key,4,38 44 138 164,0.1746479482544293,0.17442614209270196,6.357421875,6.326171875,0.014146530665321599,0.014085280469108102,-0.011533518078103228,-0.011747682928695892,1.7955899678926968,1.795793909058449,3.2241875562559126,3.2249030609360307,19.77734375,19.8515625,0.7525634765625,0.75244140625,3.34619140625,3.34375,0.09843469356862058,0.09822018049534113,2.9921875,2.9921875
primary,2wikimqa,13,value,4,38 44 138 164,0.39833159614643054,0.39836911856226964,1.1533203125,1.15380859375,0.006327363462834414,0.006302773763082619,-2.04521950208277e-05,-9.820292252722146e-05,0.4153023586804286,0.41576932626022867,0.17247804908372077,0.17286426499590757,5.396484375,5.373046875,0.26336669921875,0.2637939453125,0.82568359375,0.82666015625,0.02734292369915612,0.0273953253019901,1.4149169921875,1.4111328125
primary,2wikimqa,18,key,4,38 44 138 164,0.16763345796977291,0.16822303067078465,6.673828125,6.67578125,0.01381923219474953,0.013798554140789033,-0.006704800008258981,-0.006772500584652636,1.8094239526981586,1.8068466889663979,3.2741468490483823,3.264707535660434,19.24609375,19.28125,0.7347412109375,0.7333984375,3.2724609375,3.263671875,0.09208899546486571,0.09235426519299568,2.6875,2.6875
primary,2wikimqa,18,value,4,38 44 138 164,0.39927562862071636,0.39926536894680653,1.323974609375,1.32470703125,0.005913298330515524,0.005880916287951706,-0.0028026114918081883,-0.002564651788839788,0.48244193958316894,0.4820249817195481,0.23275509708894587,0.2323492298248675,5.408203125,5.4140625,0.30841064453125,0.30810546875,0.9527587890625,0.952392578125,0.03711367463751015,0.03704813747327472,1.20751953125,1.21142578125
