task,axis,SignedSensitivity,mean_relative_l2,median_relative_l2,mean_p99_abs,mean_outlier_fraction
lcc,key,2.64,0.20029478520673205,0.20022994245126524,2.25634765625,0.01345705130076935
multifieldqa_en,key,-0.1072,0.192891367612904,0.19264854327945063,2.1630859375,0.013759912063033642
samsum,key,0.0646,0.20513843597469733,0.20515426613417986,2.2099609375,0.014027608349667141
lcc,value,-4.17,0.5356167763335358,0.5380789099238312,0.14678955078125,0.017966406424311215
multifieldqa_en,value,0.0249,0.531187858865054,0.5310507359032054,0.138153076171875,0.017231940407735208
samsum,value,-0.068,0.5354135121335726,0.5354588188069703,0.144866943359375,0.01758981194298624
