config,k_bits,v_bits,official_avg,raw_avg,delta_vs_fp16_raw,delta_ci_low,delta_ci_high
K16/V16,16,16,38.50266666666666,38.50338419255467,0.0,0.0,0.0
K16/V4,16,4,38.48066666666667,38.48189868559012,-0.021485506964552314,-0.15835782793167966,0.11065554715592357
K16/V2,16,2,38.254000000000005,38.25353006586116,-0.24985412669350637,-0.5202589115958667,0.0230267910660206
K4/V16,4,16,38.68866666666666,38.68890508372498,0.185520891170313,-0.018546897497546053,0.40151709226330307
K4/V4,4,4,38.64,38.64018323960685,0.13679904705217893,-0.11627107273166555,0.39120548326021565
K4/V2,4,2,38.188,38.188610276463216,-0.314773916091454,-0.6054791507533664,-0.019770188838212053
K2/V16,2,16,38.589333333333336,38.58757275089216,0.0841885583374875,-0.4169390647999981,0.6046172335254825
K2/V4,2,4,38.496,38.49502487485472,-0.008359317699948576,-0.49928143077594667,0.5074701724632353
K2/V2,2,2,38.01866666666667,38.0201064352779,-0.4832777572767668,-0.9531727593951475,0.001042027671739666
