interaction,observed,ci_low,ci_high,ci_excludes_zero
K16->4 x V16->4,-0.027236337153581758,-0.233747975821791,0.17639239178357238,False
K16->4 x V4->2,-0.22320434341467887,-0.5002667568076188,0.055507299484029625,False
K4->2 x V16->4,-0.04382603191930201,-0.23787381421409926,0.1541187052114402,False
K4->2 x V4->2,-0.023345476433185297,-0.43133916399823546,0.38184881371239227,False
K16->2 x V16->2 (broad),-0.31761218892074794,-0.7355624754628469,0.08555208120093305,False
